Area,Bedrooms,Bathrooms,Age,Price
500,1,1,15,900000
550,1,1,14,980000
600,1,1,13,1050000
650,2,1,12,1150000
700,2,1,11,1250000
750,2,1,10,1350000
800,2,2,10,1450000
850,2,2,9,1580000
900,2,2,8,1700000
950,2,2,8,1850000
1000,2,2,7,2000000
1050,2,2,7,2150000
1100,2,2,6,2300000
1150,2,2,6,2450000
1200,2,2,5,2600000
1250,3,2,5,2750000
1300,3,2,5,2900000
1350,3,2,4,3050000
1400,3,2,4,3200000
1450,3,2,4,3350000
1500,3,2,3,3500000
1600,3,2,3,3750000
1700,3,3,3,4000000
1800,3,3,2,4300000
1900,3,3,2,4550000
2000,3,3,2,4800000
2100,4,3,2,5100000
2200,4,3,2,5400000
2300,4,3,2,5700000
2400,4,3,2,6000000
2500,4,3,1,6300000
2600,4,3,1,6600000
2700,4,4,1,6950000
2800,4,4,1,7300000
2900,4,4,1,7650000
3000,4,4,1,8000000
3200,5,4,1,8600000
3400,5,4,1,9200000
3600,5,4,1,9800000
3800,5,5,1,10400000
4000,5,5,1,11000000
4200,5,5,1,11600000
4400,5,5,1,12200000
4600,6,5,1,12800000
4800,6,5,1,13400000
5000,6,5,1,14000000
5200,6,6,1,14700000
5400,6,6,1,15400000
5600,6,6,1,16100000
5800,6,6,1,16800000
